DatGeracaoConjuntoDados;SigTipoGeracao;QtdUsinasPeriodo;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2024-09-01;CGH;0;,00;12;2001
2024-09-01;EOL;7;21000,00;12;2001
2024-09-01;PCH;303;855000,00;12;2001
2024-09-01;UFV;0;,00;12;2001
2024-09-01;UHE;133;61554000,00;12;2001
2024-09-01;UTE;600;10480000,00;12;2001
2024-09-01;UTN;2;1966000,00;12;2001
2024-09-01;UTN;2;2007000,00;12;2002
2024-09-01;UTE;654;13093200,00;12;2002
2024-09-01;UHE;138;64197600,00;12;2002
2024-09-01;UFV;0;,00;12;2002
2024-09-01;PCH;208;896700,00;12;2002
2024-09-01;EOL;9;22000,00;12;2002
2024-09-01;CGH;144;78400,00;12;2002
2024-09-01;CGH;159;86510,00;12;2003
2024-09-01;EOL;9;22030,00;12;2003
2024-09-01;PCH;241;1151000,00;12;2003
2024-09-01;UFV;1;20,00;12;2003
2024-09-01;UHE;140;66460250,00;12;2003
2024-09-01;UTE;712;14080440,00;12;2003
2024-09-01;UTN;2;2007000,00;12;2003
2024-09-01;UTN;2;2007000,00;12;2004
2024-09-01;UTE;766;17506060,00;12;2004
2024-09-01;UHE;144;67777680,00;12;2004
2024-09-01;UFV;1;20,00;12;2004
2024-09-01;PCH;250;1219570,00;12;2004
2024-09-01;EOL;11;28630,00;12;2004
2024-09-01;CGH;171;90050,00;12;2004
2024-09-01;CGH;188;99300,00;12;2005
2024-09-01;EOL;10;28600,00;12;2005
2024-09-01;PCH;260;1329900,00;12;2005
2024-09-01;UFV;1;20,00;12;2005
2024-09-01;UHE;149;69631000,00;12;2005
2024-09-01;UTE;870;19769700,00;12;2005
2024-09-01;UTN;2;2007000,00;12;2005
2024-09-01;UTN;2;2007000,00;12;2006
2024-09-01;UTE;945;20372125,00;12;2006
2024-09-01;UHE;156;72005411,00;12;2006
2024-09-01;UFV;1;20,00;12;2006
2024-09-01;PCH;275;1566288,00;12;2006
2024-09-01;EOL;15;236850,00;12;2006
2024-09-01;CGH;202;106772,00;12;2006
2024-09-01;CGH;215;112258,00;12;2007
