MES,ESTADO,REGIAO,TIPO_DE_USINA,VALOR_PARA_GERAR
1,ACRE,NORTE,FOTOVOLTAICA,9843.32
1,ACRE,SUDESTE,TÉRMICA,0.0
1,ALAGOAS,NORDESTE,FOTOVOLTAICA,45252.657
1,ALAGOAS,NORDESTE,HIDROELÉTRICA,945092.138
1,ALAGOAS,NORDESTE,TÉRMICA,42318.284
1,AMAPA,NORTE,FOTOVOLTAICA,5690.68
1,AMAPA,NORTE,HIDROELÉTRICA,334515.863
1,AMAPA,NORTE,TÉRMICA,0.0
1,AMAZONAS,NORTE,FOTOVOLTAICA,18011.419
1,AMAZONAS,NORTE,HIDROELÉTRICA,72878.437
1,AMAZONAS,NORTE,TÉRMICA,611173.274
1,BAHIA,NORDESTE,EOLIELÉTRICA,1286623.22
1,BAHIA,NORDESTE,FOTOVOLTAICA,570996.217
1,BAHIA,NORDESTE,HIDROELÉTRICA,1214161.427
1,BAHIA,NORDESTE,TÉRMICA,117057.835
1,CEARA,NORDESTE,EOLIELÉTRICA,652863.16
1,CEARA,NORDESTE,FOTOVOLTAICA,330866.748
1,CEARA,NORDESTE,TÉRMICA,134400.872
1,DISTRITO FEDERAL,SUDESTE,FOTOVOLTAICA,46224.83
1,DISTRITO FEDERAL,SUDESTE,HIDROELÉTRICA,14998.437
1,ESPIRITO SANTO,SUDESTE,FOTOVOLTAICA,78917.181
1,ESPIRITO SANTO,SUDESTE,HIDROELÉTRICA,272102.643
1,ESPIRITO SANTO,SUDESTE,TÉRMICA,148691.22
1,GOIAS,NORTE,TÉRMICA,0.0
1,GOIAS,SUDESTE,FOTOVOLTAICA,167518.743
1,GOIAS,SUDESTE,HIDROELÉTRICA,1834806.059
1,GOIAS,SUDESTE,TÉRMICA,8484.815
1,MARANHAO,NORTE,EOLIELÉTRICA,171807.844
1,MARANHAO,NORTE,FOTOVOLTAICA,76499.913
1,MARANHAO,NORTE,HIDROELÉTRICA,461278.702
