MES,TIPO_DE_USINA,VALOR_PARA_GERAR,VALOR_PARA_GERAR_R$
1,EOLIELÉTRICA,5565846.19,376.80778706300003
1,FOTOVOLTAICA,5709949.004,386.5635475708
1,HIDROELÉTRICA,41807215.291,2830.3484752007002
1,NUCLEAR,1447149.589,97.9720271753
1,TÉRMICA,4598272.061,311.30301852969995
2,EOLIELÉTRICA,6339384.5200000005,429.1763320040001
2,FOTOVOLTAICA,5458493.498,369.5400098146
2,HIDROELÉTRICA,41158039.608,2786.3992814616004
2,NUCLEAR,1383340.886,93.6521779822
2,TÉRMICA,3618435.936,244.9681128672
3,EOLIELÉTRICA,5302217.979,358.96015717830005
3,FOTOVOLTAICA,5849989.33,396.044277641
3,HIDROELÉTRICA,45319554.445,3068.1338359265005
3,NUCLEAR,1400648.977,94.8239357429
3,TÉRMICA,3597390.545,243.5433398965
4,EOLIELÉTRICA,6003793.409,406.45681378930004
4,FOTOVOLTAICA,5477865.847,370.8515178419
4,HIDROELÉTRICA,40914898.064,2769.9385989328002
4,NUCLEAR,1434791.7,97.13539809000001
4,TÉRMICA,3643159.468,246.6418959836
5,EOLIELÉTRICA,8899729.807,602.5117079339
5,FOTOVOLTAICA,5289277.1219999995,358.0840611594
5,HIDROELÉTRICA,37427924.024000004,2533.8704564248005
5,NUCLEAR,1265158.723,85.6512455471
5,TÉRMICA,4826725.314,326.76930375780006
6,EOLIELÉTRICA,9744690.602,659.7155537554
6,FOTOVOLTAICA,4964567.892,336.1012462884
6,HIDROELÉTRICA,32353430.268,2190.3272291436
6,NUCLEAR,1440311.192,97.5090676984
6,TÉRMICA,5230676.764,354.11681692280007
7,EOLIELÉTRICA,11084916.228,750.4488286356001
7,FOTOVOLTAICA,5395615.196,365.2831487692
7,HIDROELÉTRICA,31610175.177,2140.0088594829003
7,NUCLEAR,1491835.253,100.9972466281
7,TÉRMICA,6538543.891,442.6594214207
8,EOLIELÉTRICA,12043072.708,815.3160223316
8,FOTOVOLTAICA,6234898.458,422.1026256066
8,HIDROELÉTRICA,30137297.082000002,2040.2950124514002
8,NUCLEAR,1492515.256,101.0432828312
8,TÉRMICA,7441765.917,503.80755258090005
